Time,BaroRetard(s),AirSpeedRetard(s),BaroAltitude(m),AirSpeed(m/s),BaroStandardDeviation(m),AirSpeedStandardDeviation(m/s),StatusAirData,Secondes,TSmilli,Compteur100hz
1379564.0,0.00800000037997961,0.00800000037997961,156.5495147705078,0.25,1.0,0.25,67.0,39706.0,0.0,681008.0
1379566.0,0.00800000037997961,0.00800000037997961,156.5495147705078,0.25,1.0,0.25,67.0,39706.0,0.0,681009.0
1379568.0,0.00800000037997961,0.00800000037997961,156.82432556152344,0.25,1.0,0.25,67.0,39706.0,0.0,681010.0
1379570.0,0.00800000037997961,0.00800000037997961,156.82432556152344,0.25,1.0,0.25,67.0,39706.0,0.0,681011.0
1379572.0,0.00800000037997961,0.00800000037997961,156.82432556152344,0.25,1.0,0.25,67.0,39706.0,0.0,681012.0
1379574.0,0.00800000037997961,0.00800000037997961,156.82432556152344,0.25,1.0,0.25,67.0,39706.0,0.0,681013.0
1379576.0,0.00800000037997961,0.00800000037997961,156.82432556152344,0.25,1.0,0.25,67.0,39706.0,0.0,681014.0
1379578.0,0.00800000037997961,0.00800000037997961,156.64199829101562,0.25,1.0,0.25,67.0,39706.0,0.0,681015.0
1379580.0,0.00800000037997961,0.00800000037997961,156.64199829101562,0.25,1.0,0.25,67.0,39706.0,0.0,681016.0
1379582.0,0.00800000037997961,0.00800000037997961,156.64199829101562,0.25,1.0,0.25,67.0,39706.0,0.0,681017.0
1379584.0,0.00800000037997961,0.00800000037997961,156.64199829101562,0.25,1.0,0.25,67.0,39706.0,0.0,681018.0
1379586.0,0.00800000037997961,0.00800000037997961,156.64199829101562,0.25,1.0,0.25,67.0,39706.0,0.0,681019.0
1379588.0,0.00800000037997961,0.00800000037997961,157.1070556640625,0.25,1.0,0.25,67.0,39706.0,0.0,681020.0
1379590.0,0.00800000037997961,0.00800000037997961,157.1070556640625,0.25,1.0,0.25,67.0,39706.0,0.0,681021.0
1379592.0,0.00800000037997961,0.00800000037997961,157.1070556640625,0.25,1.0,0.25,67.0,39706.0,0.0,681022.0
1379594.0,0.00800000037997961,0.00800000037997961,157.1070556640625,0.25,1.0,0.25,67.0,39706.0,0.0,681023.0
1379596.0,0.00800000037997961,0.00800000037997961,157.1070556640625,0.25,1.0,0.25,67.0,39706.0,0.0,681024.0
1379598.0,0.00800000037997961,0.00800000037997961,157.19688415527344,0.25,1.0,0.25,67.0,39706.0,0.0,681025.0
1379600.0,0.00800000037997961,0.00800000037997961,157.19688415527344,0.25,1.0,0.25,67.0,39706.0,0.0,681026.0
1379602.0,0.00800000037997961,0.00800000037997961,157.19688415527344,0.25,1.0,0.25,67.0,39706.0,0.0,681027.0
1379604.0,0.00800000037997961,0.00800000037997961,157.19688415527344,0.25,1.0,0.25,67.0,39706.0,0.0,681028.0
1379606.0,0.00800000037997961,0.00800000037997961,157.19688415527344,0.25,1.0,0.25,67.0,39706.0,0.0,681029.0
1379608.0,0.00800000037997961,0.00800000037997961,157.76498413085938,0.25,1.0,0.25,67.0,39706.0,0.0,681030.0
1379610.0,0.00800000037997961,0.00800000037997961,157.76498413085938,0.25,1.0,0.25,67.0,39706.0,0.0,681031.0
1379612.0,0.00800000037997961,0.00800000037997961,157.76498413085938,0.25,1.0,0.25,67.0,39706.0,0.0,681032.0
1379614.0,0.00800000037997961,0.00800000037997961,157.76498413085938,0.25,1.0,0.25,67.0,39706.0,0.0,681033.0
1379616.0,0.00800000037997961,0.00800000037997961,157.76498413085938,0.25,1.0,0.25,67.0,39706.0,0.0,681034.0
1379618.0,0.00800000037997961,0.00800000037997961,158.7928466796875,0.25,1.0,0.25,67.0,39706.0,0.0,681035.0
1379620.0,0.00800000037997961,0.00800000037997961,158.7928466796875,0.25,1.0,0.25,67.0,39706.0,0.0,681036.0
1379622.0,0.00800000037997961,0.00800000037997961,158.7928466796875,0.25,1.0,0.25,67.0,39706.0,0.0,681037.0
1379624.0,0.00800000037997961,0.00800000037997961,158.7928466796875,0.25,1.0,0.25,67.0,39706.0,0.0,681038.0
1379626.0,0.00800000037997961,0.00800000037997961,158.7928466796875,0.25,1.0,0.25,67.0,39706.0,0.0,681039.0
1379628.0,0.00800000037997961,0.00800000037997961,157.9129638671875,0.25,1.0,0.25,67.0,39706.0,0.0,681040.0
