Time,Xaccl,Yaccl,Zaccl,Xgyro,Ygyro,Zgyro,Xmagn,Ymagn,Zmagn,TemperatureIMU,Barometer,TemperaturePressure,Secondes,TSmilli,QuadSum,Compteur100hz
1379564.0,-2.9185991287231445,0.6282103657722473,2.2150943279266357,0.18234221637248993,-0.26965415477752686,0.16539743542671204,68.2373046875,-456.787109375,469.7265625,24.61529541015625,99863.375,25.040000915527344,39706.0,1619774340559.043,681008.0,0.0
1379566.0,-2.9185991287231445,0.6282103657722473,2.2150943279266357,0.18234221637248993,-0.26965415477752686,0.16539743542671204,68.2373046875,-456.787109375,469.7265625,24.61529541015625,99863.375,25.040000915527344,39706.0,1619774340559.043,681009.0,0.0
1379568.0,-2.9185991287231445,0.6282103657722473,2.2150943279266357,0.18234221637248993,-0.26965415477752686,0.16539743542671204,68.2373046875,-456.787109375,469.7265625,24.61529541015625,99863.375,25.040000915527344,39706.0,1619774340559.043,681010.0,0.0
1379570.0,-2.9185991287231445,0.6282103657722473,2.2150943279266357,0.18234221637248993,-0.26965415477752686,0.16539743542671204,68.2373046875,-456.787109375,469.7265625,24.61529541015625,99863.375,25.040000915527344,39706.0,1619774340559.043,681011.0,0.0
1379572.0,-2.9185991287231445,0.6282103657722473,2.2150943279266357,0.18234221637248993,-0.26965415477752686,0.16539743542671204,68.2373046875,-456.787109375,469.7265625,24.61529541015625,99863.375,25.040000915527344,39706.0,1619774340559.043,681012.0,0.0
1379574.0,4.449298858642578,-0.6425812244415283,-23.021636962890625,0.24169768393039703,0.5657355785369873,0.1747249811887741,68.359375,-450.439453125,471.0693359375,24.647647857666016,99860.4296875,25.040000915527344,39706.0,1619774340619.045,681013.0,0.0
1379576.0,4.449298858642578,-0.6425812244415283,-23.021636962890625,0.24169768393039703,0.5657355785369873,0.1747249811887741,68.359375,-450.439453125,471.0693359375,24.647647857666016,99860.4296875,25.040000915527344,39706.0,1619774340619.045,681014.0,0.0
1379578.0,4.449298858642578,-0.6425812244415283,-23.021636962890625,0.24169768393039703,0.5657355785369873,0.1747249811887741,68.359375,-450.439453125,471.0693359375,24.647647857666016,99860.4296875,25.040000915527344,39706.0,1619774340619.045,681015.0,0.0
1379580.0,4.449298858642578,-0.6425812244415283,-23.021636962890625,0.24169768393039703,0.5657355785369873,0.1747249811887741,68.359375,-450.439453125,471.0693359375,24.647647857666016,99860.4296875,25.040000915527344,39706.0,1619774340619.045,681016.0,0.0
1379582.0,4.449298858642578,-0.6425812244415283,-23.021636962890625,0.24169768393039703,0.5657355785369873,0.1747249811887741,68.359375,-450.439453125,471.0693359375,24.647647857666016,99860.4296875,25.040000915527344,39706.0,1619774340619.045,681017.0,0.0
1379584.0,4.449298858642578,-0.6425812244415283,-23.021636962890625,0.24169768393039703,0.5657355785369873,0.1747249811887741,68.359375,-450.439453125,471.0693359375,24.647647857666016,99860.4296875,25.040000915527344,39706.0,1619774340619.045,681018.0,0.0
1379586.0,4.449298858642578,-0.6425812244415283,-23.021636962890625,0.24169768393039703,0.5657355785369873,0.1747249811887741,68.359375,-450.439453125,471.0693359375,24.647647857666016,99860.4296875,25.040000915527344,39706.0,1619774340619.045,681019.0,0.0
1379588.0,-7.001547813415527,1.3799288272857666,1.856277585029602,0.11917082220315933,-0.21180510520935059,0.16225062310695648,59.5703125,-450.0732421875,472.0458984375,24.60647201538086,99863.328125,25.040000915527344,39706.0,1619774340679.375,681020.0,0.0
1379590.0,-7.001547813415527,1.3799288272857666,1.856277585029602,0.11917082220315933,-0.21180510520935059,0.16225062310695648,59.5703125,-450.0732421875,472.0458984375,24.60647201538086,99863.328125,25.040000915527344,39706.0,1619774340679.375,681021.0,0.0
1379592.0,-7.001547813415527,1.3799288272857666,1.856277585029602,0.11917082220315933,-0.21180510520935059,0.16225062310695648,59.5703125,-450.0732421875,472.0458984375,24.60647201538086,99863.328125,25.040000915527344,39706.0,1619774340679.375,681022.0,0.0
